date,sku,product,category,units_sold,weather,holiday
2025-12-06,SOUP,Instant Soup,Packaged,27,rain,
2025-12-06,SODA,Soda Cans,Beverages,41,rain,
2025-12-07,MILK-1L,Milk 1L,Dairy,110,cold,
2025-12-07,BREAD-WHT,White Bread,Bakery,95,cold,
2025-12-07,EGGS-12,Eggs 12 Pack,Protein,69,cold,
2025-12-07,RICE-5KG,Rice 5kg,Staples,30,cold,
2025-12-07,ICECREAM,Ice Cream,Frozen,20,cold,
2025-12-07,UMBRELLA,Umbrella,Seasonal,12,cold,
2025-12-07,SOUP,Instant Soup,Packaged,51,cold,
2025-12-07,SODA,Soda Cans,Beverages,33,cold,
2025-12-08,MILK-1L,Milk 1L,Dairy,72,cold,
2025-12-08,BREAD-WHT,White Bread,Bakery,78,cold,
2025-12-08,EGGS-12,Eggs 12 Pack,Protein,58,cold,
2025-12-08,RICE-5KG,Rice 5kg,Staples,24,cold,
2025-12-08,ICECREAM,Ice Cream,Frozen,20,cold,
2025-12-08,UMBRELLA,Umbrella,Seasonal,10,cold,
2025-12-08,SOUP,Instant Soup,Packaged,35,cold,
2025-12-08,SODA,Soda Cans,Beverages,35,cold,
2025-12-09,MILK-1L,Milk 1L,Dairy,76,cold,
2025-12-09,BREAD-WHT,White Bread,Bakery,74,cold,
2025-12-09,EGGS-12,Eggs 12 Pack,Protein,57,cold,
2025-12-09,RICE-5KG,Rice 5kg,Staples,25,cold,
2025-12-09,ICECREAM,Ice Cream,Frozen,19,cold,
2025-12-09,UMBRELLA,Umbrella,Seasonal,11,cold,
2025-12-09,SOUP,Instant Soup,Packaged,40,cold,
2025-12-09,SODA,Soda Cans,Beverages,31,cold,
2025-12-10,MILK-1L,Milk 1L,Dairy,73,cold,
2025-12-10,BREAD-WHT,White Bread,Bakery,67,cold,
2025-12-10,EGGS-12,Eggs 12 Pack,Protein,51,cold,
2025-12-10,RICE-5KG,Rice 5kg,Staples,28,cold,
2025-12-10,ICECREAM,Ice Cream,Frozen,18,cold,
2025-12-10,UMBRELLA,Umbrella,Seasonal,9,cold,
2025-12-10,SOUP,Instant Soup,Packaged,33,cold,
2025-12-10,SODA,Soda Cans,Beverages,33,cold,
2025-12-11,MILK-1L,Milk 1L,Dairy,93,cold,
2025-12-11,BREAD-WHT,White Bread,Bakery,81,cold,
2025-12-11,EGGS-12,Eggs 12 Pack,Protein,47,cold,
2025-12-11,RICE-5KG,Rice 5kg,Staples,25,cold,
2025-12-11,ICECREAM,Ice Cream,Frozen,21,cold,
2025-12-11,UMBRELLA,Umbrella,Seasonal,9,cold,
2025-12-11,SOUP,Instant Soup,Packaged,34,cold,
2025-12-11,SODA,Soda Cans,Beverages,36,cold,
2025-12-12,MILK-1L,Milk 1L,Dairy,82,cold,
2025-12-12,BREAD-WHT,White Bread,Bakery,79,cold,
2025-12-12,EGGS-12,Eggs 12 Pack,Protein,59,cold,
2025-12-12,RICE-5KG,Rice 5kg,Staples,25,cold,
2025-12-12,ICECREAM,Ice Cream,Frozen,18,cold,
2025-12-12,UMBRELLA,Umbrella,Seasonal,9,cold,
2025-12-12,SOUP,Instant Soup,Packaged,37,cold,
2025-12-12,SODA,Soda Cans,Beverages,32,cold,
2025-12-13,MILK-1L,Milk 1L,Dairy,99,rain,
2025-12-13,BREAD-WHT,White Bread,Bakery,103,rain,
2025-12-13,EGGS-12,Eggs 12 Pack,Protein,55,rain,
2025-12-13,RICE-5KG,Rice 5kg,Staples,33,rain,
2025-12-13,ICECREAM,Ice Cream,Frozen,27,rain,
2025-12-13,UMBRELLA,Umbrella,Seasonal,35,rain,
2025-12-13,SOUP,Instant Soup,Packaged,30,rain,
2025-12-13,SODA,Soda Cans,Beverages,40,rain,
2025-12-14,MILK-1L,Milk 1L,Dairy,96,cold,
2025-12-14,BREAD-WHT,White Bread,Bakery,81,cold,
2025-12-14,EGGS-12,Eggs 12 Pack,Protein,59,cold,
2025-12-14,RICE-5KG,Rice 5kg,Staples,37,cold,
2025-12-14,ICECREAM,Ice Cream,Frozen,23,cold,
2025-12-14,UMBRELLA,Umbrella,Seasonal,12,cold,
2025-12-14,SOUP,Instant Soup,Packaged,46,cold,
2025-12-14,SODA,Soda Cans,Beverages,33,cold,
2025-12-15,MILK-1L,Milk 1L,Dairy,111,hot,
2025-12-15,BREAD-WHT,White Bread,Bakery,88,hot,
2025-12-15,EGGS-12,Eggs 12 Pack,Protein,63,hot,
2025-12-15,RICE-5KG,Rice 5kg,Staples,34,hot,
2025-12-15,ICECREAM,Ice Cream,Frozen,51,hot,
2025-12-15,UMBRELLA,Umbrella,Seasonal,7,hot,
2025-12-15,SOUP,Instant Soup,Packaged,14,hot,
2025-12-15,SODA,Soda Cans,Beverages,65,hot,
2025-12-16,MILK-1L,Milk 1L,Dairy,91,cold,
2025-12-16,BREAD-WHT,White Bread,Bakery,95,cold,
2025-12-16,EGGS-12,Eggs 12 Pack,Protein,57,cold,
2025-12-16,RICE-5KG,Rice 5kg,Staples,34,cold,
2025-12-16,ICECREAM,Ice Cream,Frozen,23,cold,
2025-12-16,UMBRELLA,Umbrella,Seasonal,10,cold,
2025-12-16,SOUP,Instant Soup,Packaged,49,cold,
2025-12-16,SODA,Soda Cans,Beverages,42,cold,
2025-12-17,MILK-1L,Milk 1L,Dairy,89,cold,
2025-12-17,BREAD-WHT,White Bread,Bakery,66,cold,
2025-12-17,EGGS-12,Eggs 12 Pack,Protein,51,cold,
2025-12-17,RICE-5KG,Rice 5kg,Staples,32,cold,
2025-12-17,ICECREAM,Ice Cream,Frozen,21,cold,
2025-12-17,UMBRELLA,Umbrella,Seasonal,10,cold,
2025-12-17,SOUP,Instant Soup,Packaged,41,cold,
2025-12-17,SODA,Soda Cans,Beverages,28,cold,
2025-12-18,MILK-1L,Milk 1L,Dairy,84,cold,
2025-12-18,BREAD-WHT,White Bread,Bakery,81,cold,
2025-12-18,EGGS-12,Eggs 12 Pack,Protein,49,cold,
2025-12-18,RICE-5KG,Rice 5kg,Staples,32,cold,
2025-12-18,ICECREAM,Ice Cream,Frozen,18,cold,
2025-12-18,UMBRELLA,Umbrella,Seasonal,9,cold,
2025-12-18,SOUP,Instant Soup,Packaged,40,cold,
2025-12-18,SODA,Soda Cans,Beverages,34,cold,
2025-12-19,MILK-1L,Milk 1L,Dairy,74,cold,
2025-12-19,BREAD-WHT,White Bread,Bakery,82,cold,
2025-12-19,EGGS-12,Eggs 12 Pack,Protein,50,cold,
2025-12-19,RICE-5KG,Rice 5kg,Staples,29,cold,
2025-12-19,ICECREAM,Ice Cream,Frozen,21,cold,
2025-12-19,UMBRELLA,Umbrella,Seasonal,9,cold,
2025-12-19,SOUP,Instant Soup,Packaged,40,cold,
2025-12-19,SODA,Soda Cans,Beverages,33,cold,
2025-12-20,MILK-1L,Milk 1L,Dairy,97,hot,
2025-12-20,BREAD-WHT,White Bread,Bakery,86,hot,
2025-12-20,EGGS-12,Eggs 12 Pack,Protein,55,hot,
2025-12-20,RICE-5KG,Rice 5kg,Staples,32,hot,
2025-12-20,ICECREAM,Ice Cream,Frozen,62,hot,
2025-12-20,UMBRELLA,Umbrella,Seasonal,7,hot,
2025-12-20,SOUP,Instant Soup,Packaged,15,hot,
2025-12-20,SODA,Soda Cans,Beverages,75,hot,
2025-12-21,MILK-1L,Milk 1L,Dairy,98,cold,
2025-12-21,BREAD-WHT,White Bread,Bakery,100,cold,
2025-12-21,EGGS-12,Eggs 12 Pack,Protein,74,cold,
2025-12-21,RICE-5KG,Rice 5kg,Staples,29,cold,
2025-12-21,ICECREAM,Ice Cream,Frozen,22,cold,
2025-12-21,UMBRELLA,Umbrella,Seasonal,10,cold,
2025-12-21,SOUP,Instant Soup,Packaged,52,cold,
2025-12-21,SODA,Soda Cans,Beverages,43,cold,
2025-12-22,MILK-1L,Milk 1L,Dairy,87,hot,
2025-12-22,BREAD-WHT,White Bread,Bakery,62,hot,
2025-12-22,EGGS-12,Eggs 12 Pack,Protein,55,hot,
2025-12-22,RICE-5KG,Rice 5kg,Staples,30,hot,
2025-12-22,ICECREAM,Ice Cream,Frozen,52,hot,
2025-12-22,UMBRELLA,Umbrella,Seasonal,8,hot,
2025-12-22,SOUP,Instant Soup,Packaged,15,hot,
2025-12-22,SODA,Soda Cans,Beverages,51,hot,
2025-12-23,MILK-1L,Milk 1L,Dairy,85,hot,
2025-12-23,BREAD-WHT,White Bread,Bakery,72,hot,
2025-12-23,EGGS-12,Eggs 12 Pack,Protein,57,hot,
2025-12-23,RICE-5KG,Rice 5kg,Staples,25,hot,
2025-12-23,ICECREAM,Ice Cream,Frozen,45,hot,
2025-12-23,UMBRELLA,Umbrella,Seasonal,6,hot,
2025-12-23,SOUP,Instant Soup,Packaged,14,hot,
2025-12-23,SODA,Soda Cans,Beverages,56,hot,
2025-12-24,MILK-1L,Milk 1L,Dairy,86,rain,
2025-12-24,BREAD-WHT,White Bread,Bakery,71,rain,
2025-12-24,EGGS-12,Eggs 12 Pack,Protein,56,rain,
2025-12-24,RICE-5KG,Rice 5kg,Staples,27,rain,
2025-12-24,ICECREAM,Ice Cream,Frozen,24,rain,
2025-12-24,UMBRELLA,Umbrella,Seasonal,30,rain,
2025-12-24,SOUP,Instant Soup,Packaged,31,rain,
2025-12-24,SODA,Soda Cans,Beverages,33,rain,
2025-12-25,MILK-1L,Milk 1L,Dairy,79,cold,
2025-12-25,BREAD-WHT,White Bread,Bakery,63,cold,
2025-12-25,EGGS-12,Eggs 12 Pack,Protein,59,cold,
2025-12-25,RICE-5KG,Rice 5kg,Staples,29,cold,
2025-12-25,ICECREAM,Ice Cream,Frozen,19,cold,
2025-12-25,UMBRELLA,Umbrella,Seasonal,10,cold,
2025-12-25,SOUP,Instant Soup,Packaged,40,cold,
2025-12-25,SODA,Soda Cans,Beverages,32,cold,
2025-12-26,MILK-1L,Milk 1L,Dairy,74,cold,
2025-12-26,BREAD-WHT,White Bread,Bakery,83,cold,
2025-12-26,EGGS-12,Eggs 12 Pack,Protein,61,cold,
2025-12-26,RICE-5KG,Rice 5kg,Staples,28,cold,
2025-12-26,ICECREAM,Ice Cream,Frozen,22,cold,
2025-12-26,UMBRELLA,Umbrella,Seasonal,10,cold,
2025-12-26,SOUP,Instant Soup,Packaged,35,cold,
2025-12-26,SODA,Soda Cans,Beverages,29,cold,
2025-12-27,MILK-1L,Milk 1L,Dairy,112,cold,
2025-12-27,BREAD-WHT,White Bread,Bakery,96,cold,
2025-12-27,EGGS-12,Eggs 12 Pack,Protein,72,cold,
2025-12-27,RICE-5KG,Rice 5kg,Staples,37,cold,
2025-12-27,ICECREAM,Ice Cream,Frozen,22,cold,
2025-12-27,UMBRELLA,Umbrella,Seasonal,11,cold,
2025-12-27,SOUP,Instant Soup,Packaged,41,cold,
2025-12-27,SODA,Soda Cans,Beverages,42,cold,
2025-12-28,MILK-1L,Milk 1L,Dairy,104,hot,
2025-12-28,BREAD-WHT,White Bread,Bakery,85,hot,
2025-12-28,EGGS-12,Eggs 12 Pack,Protein,54,hot,
2025-12-28,RICE-5KG,Rice 5kg,Staples,37,hot,
2025-12-28,ICECREAM,Ice Cream,Frozen,66,hot,
2025-12-28,UMBRELLA,Umbrella,Seasonal,9,hot,
2025-12-28,SOUP,Instant Soup,Packaged,18,hot,
2025-12-28,SODA,Soda Cans,Beverages,79,hot,
2025-12-29,MILK-1L,Milk 1L,Dairy,91,cold,
2025-12-29,BREAD-WHT,White Bread,Bakery,71,cold,
2025-12-29,EGGS-12,Eggs 12 Pack,Protein,62,cold,
2025-12-29,RICE-5KG,Rice 5kg,Staples,31,cold,
2025-12-29,ICECREAM,Ice Cream,Frozen,23,cold,
2025-12-29,UMBRELLA,Umbrella,Seasonal,11,cold,
2025-12-29,SOUP,Instant Soup,Packaged,36,cold,
2025-12-29,SODA,Soda Cans,Beverages,36,cold,
2025-12-30,MILK-1L,Milk 1L,Dairy,94,cold,
2025-12-30,BREAD-WHT,White Bread,Bakery,83,cold,
2025-12-30,EGGS-12,Eggs 12 Pack,Protein,51,cold,
2025-12-30,RICE-5KG,Rice 5kg,Staples,31,cold,
2025-12-30,ICECREAM,Ice Cream,Frozen,20,cold,
2025-12-30,UMBRELLA,Umbrella,Seasonal,9,cold,
2025-12-30,SOUP,Instant Soup,Packaged,43,cold,
2025-12-30,SODA,Soda Cans,Beverages,30,cold,
2025-12-31,MILK-1L,Milk 1L,Dairy,77,cold,
2025-12-31,BREAD-WHT,White Bread,Bakery,71,cold,
2025-12-31,EGGS-12,Eggs 12 Pack,Protein,61,cold,
2025-12-31,RICE-5KG,Rice 5kg,Staples,32,cold,
2025-12-31,ICECREAM,Ice Cream,Frozen,19,cold,
2025-12-31,UMBRELLA,Umbrella,Seasonal,10,cold,
2025-12-31,SOUP,Instant Soup,Packaged,38,cold,
2025-12-31,SODA,Soda Cans,Beverages,38,cold,
2026-01-01,MILK-1L,Milk 1L,Dairy,122,cold,New Year
2026-01-01,BREAD-WHT,White Bread,Bakery,81,cold,New Year
2026-01-01,EGGS-12,Eggs 12 Pack,Protein,78,cold,New Year
2026-01-01,RICE-5KG,Rice 5kg,Staples,36,cold,New Year
2026-01-01,ICECREAM,Ice Cream,Frozen,31,cold,New Year
2026-01-01,UMBRELLA,Umbrella,Seasonal,10,cold,New Year
2026-01-01,SOUP,Instant Soup,Packaged,42,cold,New Year
2026-01-01,SODA,Soda Cans,Beverages,44,cold,New Year
2026-01-02,MILK-1L,Milk 1L,Dairy,87,rain,
2026-01-02,BREAD-WHT,White Bread,Bakery,92,rain,
2026-01-02,EGGS-12,Eggs 12 Pack,Protein,62,rain,
2026-01-02,RICE-5KG,Rice 5kg,Staples,32,rain,
2026-01-02,ICECREAM,Ice Cream,Frozen,29,rain,
2026-01-02,UMBRELLA,Umbrella,Seasonal,29,rain,
2026-01-02,SOUP,Instant Soup,Packaged,34,rain,
2026-01-02,SODA,Soda Cans,Beverages,37,rain,
2026-01-03,MILK-1L,Milk 1L,Dairy,109,hot,
2026-01-03,BREAD-WHT,White Bread,Bakery,88,hot,
2026-01-03,EGGS-12,Eggs 12 Pack,Protein,65,hot,
2026-01-03,RICE-5KG,Rice 5kg,Staples,35,hot,
2026-01-03,ICECREAM,Ice Cream,Frozen,58,hot,
2026-01-03,UMBRELLA,Umbrella,Seasonal,7,hot,
2026-01-03,SOUP,Instant Soup,Packaged,17,hot,
2026-01-03,SODA,Soda Cans,Beverages,68,hot,
2026-01-04,MILK-1L,Milk 1L,Dairy,111,cold,
2026-01-04,BREAD-WHT,White Bread,Bakery,95,cold,
2026-01-04,EGGS-12,Eggs 12 Pack,Protein,62,cold,
2026-01-04,RICE-5KG,Rice 5kg,Staples,32,cold,
2026-01-04,ICECREAM,Ice Cream,Frozen,24,cold,
2026-01-04,UMBRELLA,Umbrella,Seasonal,11,cold,
2026-01-04,SOUP,Instant Soup,Packaged,44,cold,
2026-01-04,SODA,Soda Cans,Beverages,35,cold,
2026-01-05,MILK-1L,Milk 1L,Dairy,97,cold,
2026-01-05,BREAD-WHT,White Bread,Bakery,79,cold,
2026-01-05,EGGS-12,Eggs 12 Pack,Protein,62,cold,
2026-01-05,RICE-5KG,Rice 5kg,Staples,29,cold,
2026-01-05,ICECREAM,Ice Cream,Frozen,20,cold,
2026-01-05,UMBRELLA,Umbrella,Seasonal,10,cold,
2026-01-05,SOUP,Instant Soup,Packaged,34,cold,
2026-01-05,SODA,Soda Cans,Beverages,31,cold,
2026-01-06,MILK-1L,Milk 1L,Dairy,88,cold,
2026-01-06,BREAD-WHT,White Bread,Bakery,79,cold,
2026-01-06,EGGS-12,Eggs 12 Pack,Protein,55,cold,
2026-01-06,RICE-5KG,Rice 5kg,Staples,28,cold,
2026-01-06,ICECREAM,Ice Cream,Frozen,19,cold,
2026-01-06,UMBRELLA,Umbrella,Seasonal,10,cold,
2026-01-06,SOUP,Instant Soup,Packaged,44,cold,
2026-01-06,SODA,Soda Cans,Beverages,36,cold,
2026-01-07,MILK-1L,Milk 1L,Dairy,75,cold,
2026-01-07,BREAD-WHT,White Bread,Bakery,76,cold,
2026-01-07,EGGS-12,Eggs 12 Pack,Protein,58,cold,
2026-01-07,RICE-5KG,Rice 5kg,Staples,27,cold,
2026-01-07,ICECREAM,Ice Cream,Frozen,23,cold,
2026-01-07,UMBRELLA,Umbrella,Seasonal,11,cold,
2026-01-07,SOUP,Instant Soup,Packaged,42,cold,
2026-01-07,SODA,Soda Cans,Beverages,30,cold,
2026-01-08,MILK-1L,Milk 1L,Dairy,74,cold,
2026-01-08,BREAD-WHT,White Bread,Bakery,70,cold,
2026-01-08,EGGS-12,Eggs 12 Pack,Protein,55,cold,
2026-01-08,RICE-5KG,Rice 5kg,Staples,32,cold,
2026-01-08,ICECREAM,Ice Cream,Frozen,18,cold,
2026-01-08,UMBRELLA,Umbrella,Seasonal,10,cold,
2026-01-08,SOUP,Instant Soup,Packaged,41,cold,
2026-01-08,SODA,Soda Cans,Beverages,30,cold,
2026-01-09,MILK-1L,Milk 1L,Dairy,83,rain,
2026-01-09,BREAD-WHT,White Bread,Bakery,73,rain,
2026-01-09,EGGS-12,Eggs 12 Pack,Protein,58,rain,
2026-01-09,RICE-5KG,Rice 5kg,Staples,25,rain,
2026-01-09,ICECREAM,Ice Cream,Frozen,27,rain,
2026-01-09,UMBRELLA,Umbrella,Seasonal,30,rain,
2026-01-09,SOUP,Instant Soup,Packaged,25,rain,
2026-01-09,SODA,Soda Cans,Beverages,38,rain,
2026-01-10,MILK-1L,Milk 1L,Dairy,116,cold,
2026-01-10,BREAD-WHT,White Bread,Bakery,90,cold,
2026-01-10,EGGS-12,Eggs 12 Pack,Protein,57,cold,
2026-01-10,RICE-5KG,Rice 5kg,Staples,31,cold,
2026-01-10,ICECREAM,Ice Cream,Frozen,27,cold,
2026-01-10,UMBRELLA,Umbrella,Seasonal,11,cold,
2026-01-10,SOUP,Instant Soup,Packaged,51,cold,
2026-01-10,SODA,Soda Cans,Beverages,41,cold,
2026-01-11,MILK-1L,Milk 1L,Dairy,112,hot,
2026-01-11,BREAD-WHT,White Bread,Bakery,95,hot,
2026-01-11,EGGS-12,Eggs 12 Pack,Protein,68,hot,
2026-01-11,RICE-5KG,Rice 5kg,Staples,35,hot,
2026-01-11,ICECREAM,Ice Cream,Frozen,65,hot,
2026-01-11,UMBRELLA,Umbrella,Seasonal,8,hot,
2026-01-11,SOUP,Instant Soup,Packaged,18,hot,
2026-01-11,SODA,Soda Cans,Beverages,73,hot,
2026-01-12,MILK-1L,Milk 1L,Dairy,99,hot,
2026-01-12,BREAD-WHT,White Bread,Bakery,70,hot,
2026-01-12,EGGS-12,Eggs 12 Pack,Protein,48,hot,
2026-01-12,RICE-5KG,Rice 5kg,Staples,27,hot,
2026-01-12,ICECREAM,Ice Cream,Frozen,54,hot,
2026-01-12,UMBRELLA,Umbrella,Seasonal,7,hot,
2026-01-12,SOUP,Instant Soup,Packaged,14,hot,
2026-01-12,SODA,Soda Cans,Beverages,64,hot,
2026-01-13,MILK-1L,Milk 1L,Dairy,76,cold,
2026-01-13,BREAD-WHT,White Bread,Bakery,71,cold,
2026-01-13,EGGS-12,Eggs 12 Pack,Protein,52,cold,
2026-01-13,RICE-5KG,Rice 5kg,Staples,27,cold,
2026-01-13,ICECREAM,Ice Cream,Frozen,21,cold,
2026-01-13,UMBRELLA,Umbrella,Seasonal,9,cold,
2026-01-13,SOUP,Instant Soup,Packaged,37,cold,
2026-01-13,SODA,Soda Cans,Beverages,35,cold,
2026-01-14,MILK-1L,Milk 1L,Dairy,72,rain,
2026-01-14,BREAD-WHT,White Bread,Bakery,78,rain,
2026-01-14,EGGS-12,Eggs 12 Pack,Protein,56,rain,
2026-01-14,RICE-5KG,Rice 5kg,Staples,29,rain,
2026-01-14,ICECREAM,Ice Cream,Frozen,23,rain,
2026-01-14,UMBRELLA,Umbrella,Seasonal,27,rain,
2026-01-14,SOUP,Instant Soup,Packaged,32,rain,
2026-01-14,SODA,Soda Cans,Beverages,40,rain,
2026-01-15,MILK-1L,Milk 1L,Dairy,104,rain,
2026-01-15,BREAD-WHT,White Bread,Bakery,98,rain,
2026-01-15,EGGS-12,Eggs 12 Pack,Protein,61,rain,
2026-01-15,RICE-5KG,Rice 5kg,Staples,29,rain,
2026-01-15,ICECREAM,Ice Cream,Frozen,27,rain,
2026-01-15,UMBRELLA,Umbrella,Seasonal,34,rain,
2026-01-15,SOUP,Instant Soup,Packaged,36,rain,
2026-01-15,SODA,Soda Cans,Beverages,50,rain,
2026-01-16,MILK-1L,Milk 1L,Dairy,106,cold,
2026-01-16,BREAD-WHT,White Bread,Bakery,88,cold,
2026-01-16,EGGS-12,Eggs 12 Pack,Protein,66,cold,
